nodeName	altName	nodeAttr.nodesPresent...
ENSG00000170421	NA	brown
ENSG00000111057	NA	brown
ENSG00000092841	NA	brown
ENSG00000169710	NA	brown
ENSG00000189334	NA	brown
ENSG00000065978	NA	brown
ENSG00000100219	NA	brown
ENSG00000164919	NA	brown
ENSG00000182809	NA	brown
ENSG00000099194	NA	brown
ENSG00000108639	NA	brown
ENSG00000124664	NA	brown
ENSG00000135404	NA	brown
ENSG00000004478	NA	brown
ENSG00000107223	NA	brown
ENSG00000176014	NA	brown
ENSG00000089327	NA	brown
ENSG00000214530	NA	brown
ENSG00000039068	NA	brown
ENSG00000187244	NA	brown
ENSG00000100075	NA	brown
ENSG00000010278	NA	brown
ENSG00000175567	NA	brown
ENSG00000143878	NA	brown
ENSG00000159176	NA	brown
ENSG00000140319	NA	brown
ENSG00000197043	NA	brown
ENSG00000169714	NA	brown
ENSG00000143314	NA	brown
ENSG00000130724	NA	brown
ENSG00000099282	NA	brown
ENSG00000126067	NA	brown
ENSG00000197070	NA	brown
ENSG00000115648	NA	brown
ENSG00000131669	NA	brown
ENSG00000143418	NA	brown
ENSG00000147065	NA	brown
ENSG00000119333	NA	brown
ENSG00000118640	NA	brown
ENSG00000129354	NA	brown
ENSG00000129353	NA	brown
ENSG00000008283	NA	brown
ENSG00000092010	NA	brown
ENSG00000105518	NA	brown
ENSG00000129514	NA	brown
ENSG00000095380	NA	brown
ENSG00000182704	NA	brown
ENSG00000072310	NA	brown
ENSG00000107281	NA	brown
ENSG00000143543	NA	brown
ENSG00000113648	NA	brown
ENSG00000159069	NA	brown
ENSG00000079462	NA	brown
ENSG00000065361	NA	brown
ENSG00000221865	NA	brown
ENSG00000132746	NA	brown
ENSG00000115468	NA	brown
ENSG00000116857	NA	brown
ENSG00000119383	NA	brown
ENSG00000105402	NA	brown
ENSG00000176101	NA	brown
ENSG00000185630	NA	brown
ENSG00000205155	NA	brown
ENSG00000186193	NA	brown
ENSG00000113719	NA	brown
ENSG00000107485	NA	brown
ENSG00000117472	NA	brown
ENSG00000143578	NA	brown
ENSG00000105514	NA	brown
ENSG00000115274	NA	brown
ENSG00000106605	NA	brown
ENSG00000102882	NA	brown
ENSG00000147123	NA	brown
ENSG00000139629	NA	brown
ENSG00000115461	NA	brown
ENSG00000106077	NA	brown
ENSG00000186261	NA	brown
ENSG00000103067	NA	brown
ENSG00000130202	NA	brown
ENSG00000167106	NA	brown
ENSG00000171604	NA	brown
ENSG00000148341	NA	brown
ENSG00000132254	NA	brown
ENSG00000163083	NA	brown
ENSG00000196642	NA	brown
ENSG00000171302	NA	brown
ENSG00000074410	NA	brown
ENSG00000002586	NA	brown
ENSG00000114054	NA	brown
ENSG00000171570	NA	brown
ENSG00000189171	NA	brown
ENSG00000140264	NA	brown
ENSG00000165458	NA	brown
ENSG00000148362	NA	brown
ENSG00000145916	NA	brown
ENSG00000135862	NA	brown
ENSG00000162522	NA	brown
ENSG00000120875	NA	brown
ENSG00000148290	NA	brown
ENSG00000187837	NA	brown
ENSG00000160685	NA	brown
ENSG00000142910	NA	brown
ENSG00000188603	NA	brown
ENSG00000179918	NA	brown
ENSG00000137100	NA	brown
ENSG00000105289	NA	brown
ENSG00000166347	NA	brown
ENSG00000111907	NA	brown
ENSG00000149743	NA	brown
